time,alb_NAE,lat_NAE,lon_NAE,cloud_NAE
2022-07-25,0.8571,75.002435,-29.980447,0.8152
2022-07-26,0.8162,75.002431,-29.980443,0.3151
2022-08-02,0.8298,75.002418,-29.980441,0.7835
2022-08-03,0.8339,75.002444,-29.980452,0.8826
2022-08-04,0.7912,75.002435,-29.980389,0.0671
2022-08-05,0.7807,75.002445,-29.98042,0.571
2022-08-06,0.874,75.002416,-29.980487,0.5529
2022-08-09,0.8264,75.002449,-29.980402,0.4229
2022-08-30,0.7901,75.002463,-29.980358,0.4359
2022-09-03,0.6421,75.002464,-29.980381,0.2026
2022-09-05,0.8306,75.002422,-29.980363,0.8023
2022-09-06,0.6376,75.002449,-29.980331,0.5826
2023-06-26,0.7557,75.002532,-29.9797,0.3484
2023-06-27,0.7997,75.002522,-29.979685,0.9553
2023-06-28,0.8083,75.002524,-29.979681,0.7331
2023-06-29,0.8619,75.002528,-29.979691,0.8199
2023-06-30,0.8588,75.002528,-29.979683,0.8507
2023-07-01,0.8088,75.002523,-29.979682,0.5758
2023-07-02,0.7783,75.002528,-29.979693,0.0958
2023-07-03,0.7778,75.002529,-29.979692,0.1041
2023-07-04,0.7719,75.002526,-29.979696,0.1045
2023-07-05,0.8006,75.002528,-29.979665,0.2699
2023-07-06,0.7663,75.002525,-29.979684,0.1807
2023-07-07,0.7554,75.002522,-29.979665,0.3118
2023-07-08,0.816,75.002522,-29.979679,0.5827
2023-07-09,0.8166,75.00253,-29.979669,0.7757
2023-07-10,0.8373,75.002528,-29.979653,0.7972
2023-07-11,0.8513,75.002524,-29.979649,0.796
2023-07-12,0.8065,75.002526,-29.97966,0.5391
2023-07-13,0.808,75.00253,-29.979655,0.5413
2023-07-14,0.7866,75.002527,-29.979661,0.3575
2023-07-15,0.7775,75.002531,-29.979678,0.2018
2023-07-16,0.7749,75.002529,-29.979648,0.1621
2023-07-17,0.8504,75.00253,-29.979653,0.8096
2023-07-18,0.8392,75.00253,-29.979666,0.822
2023-07-19,0.8166,75.002528,-29.979652,0.6
2023-07-20,0.7888,75.002531,-29.979652,0.3515
2023-07-21,0.8029,75.002524,-29.979704,0.5701
2023-07-22,0.7962,75.002533,-29.97973,0.2807
2023-07-23,0.7317,75.002529,-29.979718,0.4878
2023-07-24,0.8384,75.00253,-29.979704,0.7851
2023-07-25,0.7952,75.002528,-29.979712,0.4589
2023-07-26,0.8167,75.002528,-29.979716,0.7043
2023-07-27,0.8282,75.002528,-29.979715,0.8128
2023-07-28,0.8137,75.002532,-29.9797,0.6631
2023-07-29,0.8207,75.002528,-29.979675,0.7185
2023-07-30,0.8297,75.002529,-29.979711,0.5929
2023-07-31,0.8101,75.002524,-29.979692,0.5718
2023-08-01,0.7641,75.002532,-29.979703,0.4522
2023-08-02,0.7751,75.002529,-29.979699,0.3361
2023-08-03,0.7694,75.002528,-29.979689,0.3094
2023-08-04,0.7318,75.002531,-29.979683,0.3105
2023-08-05,0.7915,75.002529,-29.97969,0.5761
2023-08-06,0.7936,75.002531,-29.979691,0.7008
2023-08-07,0.8201,75.002532,-29.979679,0.7928
2023-08-08,0.8196,75.002533,-29.979694,0.7796
2023-08-09,0.8755,75.002524,-29.979672,0.7533
2023-08-10,0.9047,75.002534,-29.979668,0.9439
2023-08-11,0.7812,75.002535,-29.979674,0.2198
2023-08-12,0.795,75.002531,-29.97965,0.4394
2023-08-13,0.7134,75.002534,-29.979675,0.4158
2023-08-14,0.838,75.002537,-29.979671,0.8067
2023-08-15,0.8363,75.002534,-29.979654,0.7754
2023-08-16,0.8188,75.00253,-29.979676,0.6163
2023-08-17,0.8322,75.002531,-29.979654,0.7949
2023-08-18,0.7207,75.002534,-29.979668,0.5596
2023-08-19,0.8569,75.002534,-29.97965,0.9276
2023-08-20,0.783,75.002536,-29.979681,0.4173
2023-08-21,0.8016,75.00253,-29.979671,0.5253
2023-08-22,0.7986,75.002533,-29.979647,0.3428
2023-08-23,0.7856,75.002535,-29.979642,0.325
2023-08-24,0.7767,75.002535,-29.979641,0.3694
2023-08-25,0.8012,75.002531,-29.979636,0.4982
2023-08-26,0.9322,75.002528,-29.979618,0.8674
2023-08-27,0.8752,75.002532,-29.979618,0.9127
2023-08-28,0.8836,75.002532,-29.979631,0.9693
2023-08-29,0.7604,75.002538,-29.97964,0.3683
2023-08-30,0.7812,75.002534,-29.979623,0.4315
2023-08-31,0.7765,75.002538,-29.979632,0.4025
2023-09-01,0.7865,75.002529,-29.979621,0.5047
2023-09-02,0.8482,75.002535,-29.97962,0.8672
2023-09-03,0.8708,75.002537,-29.979625,0.9564
2023-09-04,0.8695,75.002533,-29.979614,0.8101
2023-09-05,0.6337,75.002532,-29.979634,0.5053
2023-09-06,0.8003,75.00253,-29.979604,0.7164
2023-09-07,0.7808,75.002535,-29.979602,0.7193
2023-09-08,0.7003,75.002534,-29.979597,0.719
2023-09-09,0.6205,75.002539,-29.979602,0.4603
2023-09-10,0.9572,75.00254,-29.979611,0.756
