time,alb_SDL,lat_SDL,lon_SDL,cloud_SDL
2023-08-29,0.8519,66.000161,-44.502632,0.4819
2023-08-30,0.8622,66.000154,-44.502646,0.8384
2023-08-31,0.8502,66.00016,-44.502638,0.7152
2023-09-01,0.8736,66.000155,-44.502623,0.8785
2023-09-02,0.8853,66.000149,-44.502616,0.9523
2023-09-03,0.8747,66.000162,-44.502614,0.6908
2023-09-04,0.8975,66.000156,-44.502621,0.8905
2023-09-05,0.8574,66.000159,-44.502627,0.7909
2023-09-06,0.827,66.000139,-44.502634,0.8884
2023-09-07,0.9277,66.000144,-44.502627,0.8968
2023-09-08,0.8946,66.00015,-44.502616,0.8293
2023-09-09,0.8727,66.000161,-44.502626,0.3544
2023-09-10,0.8545,66.000149,-44.502648,0.3339
2023-09-11,0.8732,66.000149,-44.502641,0.3799
2023-09-12,0.8536,66.000156,-44.502629,0.5583
2023-09-13,0.8622,66.00016,-44.502626,0.6882
2023-09-14,0.8756,66.000151,-44.502636,0.741
2023-09-15,0.8699,66.000156,-44.502631,0.8063
2023-09-16,0.8727,66.000155,-44.502643,0.8924
2023-09-17,0.8652,66.000139,-44.502625,0.9074
2023-09-18,0.9072,66.000161,-44.502638,0.3599
2023-09-19,0.8866,66.000154,-44.502637,0.594
2023-09-20,0.8711,66.000149,-44.502632,0.6426
2023-09-22,0.7403,66.000158,-44.502633,0.8905
2023-09-23,0.831,66.000162,-44.502641,0.4934
2023-09-24,0.9501,66.000154,-44.502638,0.2159
2023-09-25,0.8913,66.000154,-44.502661,0.8038
2023-09-26,0.9044,66.000151,-44.50264,0.8847
